Site,Sample Station (SS) - LOCATION DESCRIPTION,X - Coordinate,Y - Coordinate
35800,"SS - N/S E 85th St, BTW 5th & Madison Aves,  OPP 16 E 85th St, 36""",995459,223581
35900,"SS - IFO 168 W/S 5th Ave, BTW E 21st & E 22nd Sts, 48""",986915,209114
36000,"SS - S/S E 68th St, BTW 5th & Madison Aves, 36""",993046,219645
36100,"SS - IFO 1212 E/S 6th Ave, BTW W 47th & W 48th Sts, 20""",989398,215557
36200,"SS - W/S 5th Ave, BTW W 8th St & Washington Square N, 48""",985124,205874
36350,"SS - IFO 165 N/S E 112th St, 1st SS E/O Lexington Ave, 12""",1000097,229237
36500,"SS - E/S Broadway, BTW Howard & Grand Sts, 30""",983915,201605
36600,"SS - IFO 87 E/S Bowery, BTW Hester & Canal Sts, 36""",985508,200478
36700,"SS - S/S South St, BTW Rutgers Slip & Jefferson Sts, 30""",987453,197979
36950,SS - W/S Main St. Roosevelt Island (north of bridge) - 2nd SS N/O FDNY SOC circle,999939,219046
37300,"SS - IFO 3401 W/S Broadway, BTW W 138th & W 139th Sts, 36""",997037,238820
37450,"SS -OPP 532 N/S W 111st St, 2nd SS W/O Amsterdam Ave, 12""",993850,232387
37950,"SS - IFO 325 N/S E 12th St, 2nd SS E/O 2nd Ave, 12""",988485,205450
38150,"SS - IFO 121 N/S W 72nd St, 2nd SS W/O Columbus Ave, 12""",989901,222686
38250,"SS - IFO 309 N/S E 87th St, 2nd SS W/O 1st Ave, 12""",997994,222826
38300,"SS - E/S Amsterdam Ave, BTW W 179th & W 180th Sts (IFO DEP Pump Station), 36""",1003227,247967
38650,"SS - OPP 238 N/S W 112th St, 2nd SS E/O 8th Ave (Fredrick Douglass), 12""",996500,231218
39200,"SS - E/S Amsterdam Ave, BTW W 61st & W 62nd Sts, 48""",988030,220500
39400,"SS - S/S W 62nd St, BTW Columbus Ave & Broadway, 48""",989043,220395
39550,"SS - W/S Park Ave, 1st SS S/O E 95th St, 12""",997170,225580
39550,"SS - W/S Park Ave, 1st SS S/O E 95th St, 12""",997172,225580
39650,"SS - IFO 229 N/S E 49th St, 2nd SS W/O 2nd Ave, 12""",992565,214253
39750,"SS - IFO 321 N/S E 71st St, 2nd SS W/O 1st Ave, 12""",995942,218935
39800,"SS - W/S Broadway, BTW W 76th & W 77th Sts, 36""",989480,224221
4ISL5,"SS - Rikers Island, traffic island OPP James A. Thomas Ctr, 14-14 Hazen St",1015316,229741
40150,"SS - N/S 27th Ave, 1st SS E/O 2nd St, IFO 2-07 27th Ave, 12""",1002251,221752
40200,"SS - S/S 19th Ave, BTW 41st & Steinway Sts, IFO 40-14 19th Ave, 60""",1012206,222705
40250,"SS - IFO 22-26 W/S Steinway St, 2nd SS S/O Ditmars Blvd, 12""",1010037,220644
40300,"SS - IFO 12 - 23 SE/S Jackson Ave, BTW 48th & 49th Aves, 72""",998105,210271
40350,"SS - N/S 41st Ave, 2nd SS W/O 21st St, 12""",1000003,214134
40450,"SS - OPP 33-02 N/S 48th Ave, 1st SS E/O 33rd St, 12""",1003047,209194
40550,"SS - W/S 61st (Bush) St, 1st SS S/O 47th Ave, 12""",1011000,208696
40600,"SS - E/S 89th St, BTW Northern Blvd & 32nd Ave, 72""",1017800,215038
40650,"SS - IFO 30-12 W/S 94th St, 1st SS S/O 30th Ave, 12""",1018876,216530
40750,"SS - N/S Northern Blvd, 1st SS W/O 78th St, 12""",1014894,214445
40800,"SS - E/S 62nd St, BTW 37th Ave & Broadway, 48""",1011829,212286
40850,"SS - IFO 4205 E/S 77th St, 1st SS S/O Woodside Ave, 12""",1015318,210104
